ID,Neighborhood,,2010,2015,2020,2010 Percent Total,2015 Percent Total,2020 Percent of Total,Percent Change 2010-2023,Burden of Arrest
86,Silver Lake,,31.0000,31.0000,33.0000,0.0010,0.0015,0.0013,0.2783,0.12
87,South Park,,567.0000,450.0000,301.0000,0.0186,0.0211,0.0118,-0.3625,1.7
88,Studio City,,114.0000,106.0000,133.0000,0.0037,0.0050,0.0052,0.4010,0.46
89,Sun Valley,,274.0000,76.0000,80.0000,0.0090,0.0036,0.0031,-0.6494,0.56
90,Sunland,,8.0000,4.0000,5.0000,0.0003,0.0002,0.0002,-0.2495,0.02
91,Sylmar,,88.0000,40.0000,62.0000,0.0029,0.0019,0.0024,-0.1539,0.25
92,Tarzana,,57.0000,33.0000,69.0000,0.0019,0.0015,0.0027,0.4537,0.21
93,Toluca Lake,,16.0000,11.0000,15.0000,0.0005,0.0005,0.0006,0.1258,0.05
94,Tujunga,,14.0000,4.0000,8.0000,0.0005,0.0002,0.0003,-0.3138,0.03
95,University Park,,191.0000,236.0000,210.0000,0.0062,0.0110,0.0083,0.3203,0.82
96,Valley Glen,,63.0000,48.0000,69.0000,0.0021,0.0022,0.0027,0.3152,0.23
97,Valley Village,,38.0000,28.0000,32.0000,0.0012,0.0013,0.0013,0.0113,0.12
98,Van Nuys,,734.0000,820.0000,825.0000,0.0240,0.0384,0.0324,0.3498,3.07
99,Venice,,944.0000,472.0000,540.0000,0.0309,0.0221,0.0212,-0.3131,2.53
100,Vermont Knolls,,423.0000,357.0000,889.0000,0.0138,0.0167,0.0349,1.5238,2.16
101,Vermont Square,,"1,180.0000",796.0000,963.0000,0.0386,0.0373,0.0378,-0.0200,3.8
102,Vermont Vista,,636.0000,916.0000,963.0000,0.0208,0.0429,0.0378,0.8183,3.25
103,Vermont-Slauson,,724.0000,554.0000,"1,424.0000",0.0237,0.0259,0.0560,1.3619,3.49
104,Watts,,824.0000,494.0000,677.0000,0.0270,0.0231,0.0266,-0.0134,2.58
105,West Adams,,325.0000,248.0000,187.0000,0.0106,0.0116,0.0073,-0.3090,0.98
106,West Hills,,31.0000,16.0000,27.0000,0.0010,0.0007,0.0011,0.0459,0.1
107,West Los Angeles,,27.0000,17.0000,60.0000,0.0009,0.0008,0.0024,1.6686,0.13
108,Westchester,,458.0000,223.0000,"1,405.0000",0.0150,0.0104,0.0552,2.6839,2.7
109,Westlake,,509.0000,388.0000,601.0000,0.0167,0.0182,0.0236,0.4179,1.94
110,Westwood,,55.0000,30.0000,127.0000,0.0018,0.0014,0.0050,1.7729,0.27
111,Wilmington,,227.0000,86.0000,108.0000,0.0074,0.0040,0.0042,-0.4287,0.54
112,Windsor Square,,5.0000,5.0000,16.0000,0.0002,0.0002,0.0006,2.8428,0.03
113,Winnetka,,100.0000,72.0000,71.0000,0.0033,0.0034,0.0028,-0.1474,0.31
114,Woodland Hills,,114.0000,65.0000,127.0000,0.0037,0.0030,0.0050,0.3378,0.4
